GSSCode,year,recordedOffences
E09000028,2011,34475
E09000029,2011,11736
E09000030,2011,29452
E09000031,2011,24876
E09000032,2011,24392
E09000033,2011,66315
E09000002,2012,17240
E09000003,2012,25364
E09000004,2012,12335
E09000005,2012,27260
E09000006,2012,20248
E09000007,2012,32840
E09000008,2012,31109
E09000009,2012,30003
E09000010,2012,22521
E09000011,2012,21110
E09000012,2012,27804
E09000013,2012,21782
E09000014,2012,23377
E09000015,2012,13463
E09000016,2012,16458
E09000017,2012,20636
E09000018,2012,22509
E09000019,2012,27865
E09000020,2012,20839
E09000021,2012,10198
E09000022,2012,34912
E09000023,2012,24727
E09000024,2012,13376
E09000025,2012,31716
E09000026,2012,22419
E09000027,2012,11803
E09000028,2012,32747
E09000029,2012,11188
E09000030,2012,29082
E09000031,2012,24478
E09000032,2012,25445
E09000033,2012,62014
E09000002,2013,16104
E09000003,2013,22724
E09000004,2013,11837
E09000005,2013,24476
E09000006,2013,19445
E09000007,2013,28646
E09000008,2013,28202
E09000009,2013,25886
E09000010,2013,22631
E09000011,2013,19630
E09000012,2013,26031
E09000013,2013,18985
E09000014,2013,22074
E09000015,2013,12236
E09000016,2013,15127
E09000017,2013,19268
E09000018,2013,19668
E09000019,2013,24603
E09000020,2013,17975
E09000021,2013,9288
E09000022,2013,32923
E09000023,2013,22327
E09000024,2013,11596
E09000025,2013,28950
E09000026,2013,20044
E09000027,2013,10518
E09000028,2013,31195
E09000029,2013,10401
E09000030,2013,27139
E09000031,2013,22097
E09000032,2013,22241
E09000033,2013,54054
E09000002,2014,16235
E09000003,2014,23192
E09000004,2014,12280
E09000005,2014,25101
E09000006,2014,20434
E09000007,2014,28428
E09000008,2014,28804
E09000009,2014,25941
E09000010,2014,22308
E09000011,2014,21023
E09000012,2014,25706
E09000013,2014,20259
E09000014,2014,23824
E09000015,2014,12316
E09000016,2014,15358
E09000017,2014,22019
E09000018,2014,20825
E09000019,2014,26222
E09000020,2014,18836
E09000021,2014,9774
E09000022,2014,33025
E09000023,2014,22109
E09000024,2014,12164
E09000025,2014,28986
E09000026,2014,20128
E09000027,2014,10788
E09000028,2014,30130
E09000029,2014,10974
E09000030,2014,27348
E09000031,2014,20782
E09000032,2014,22583
E09000033,2014,48279
E09000002,2015,17477
E09000003,2015,24978
E09000004,2015,12644
E09000005,2015,26128
E09000006,2015,21137
E09000007,2015,30185
E09000008,2015,28951
E09000009,2015,27032
E09000010,2015,22942
E09000011,2015,21950
E09000012,2015,27209
E09000013,2015,20514
E09000014,2015,26024
E09000015,2015,13174
E09000016,2015,16851
E09000017,2015,21972
E09000018,2015,21926
E09000019,2015,28144
E09000020,2015,19663
E09000021,2015,10155
E09000022,2015,34998
E09000023,2015,24712
E09000024,2015,12933
E09000025,2015,30084
E09000026,2015,19637
E09000027,2015,10729
E09000028,2015,31422
E09000029,2015,10949
E09000030,2015,28752
E09000031,2015,21799
E09000032,2015,23292
E09000033,2015,49204
E09000002,2016,14638
E09000003,2016,21549
E09000004,2016,11163
E09000005,2016,23237
E09000006,2016,17243
E09000007,2016,25390
E09000008,2016,25777
E09000009,2016,23684
E09000010,2016,19401
E09000011,2016,20023
E09000012,2016,24933
E09000013,2016,17629
E09000014,2016,23894
E09000015,2016,11309
E09000016,2016,14680
E09000017,2016,19195
E09000018,2016,19339
E09000019,2016,23254
E09000020,2016,17206
E09000021,2016,8739
E09000022,2016,29787
E09000023,2016,20654
E09000024,2016,10973
E09000025,2016,26306
E09000026,2016,16963
E09000027,2016,9780
E09000028,2016,27529
E09000029,2016,9102
E09000030,2016,26005
E09000031,2016,17899
E09000032,2016,20809
E09000033,2016,42414
