Code,Borough,year,Offences,Rate,recordedOffences
E09000021,Kingston upon Thames,2007,All recorded offences,79.5,12276
E09000022,Lambeth,2007,All recorded offences,125.8,35855
E09000023,Lewisham,2007,All recorded offences,118.9,31055
E09000024,Merton,2007,All recorded offences,77.3,15025
E09000025,Newham,2007,All recorded offences,133.1,35448
E09000026,Redbridge,2007,All recorded offences,86.7,22544
E09000027,Richmond upon Thames,2007,All recorded offences,66.2,12073
E09000028,Southwark,2007,All recorded offences,146.8,40029
E09000029,Sutton,2007,All recorded offences,72.4,13340
E09000030,Tower Hamlets,2007,All recorded offences,137.1,30892
E09000031,Waltham Forest,2007,All recorded offences,109.3,25751
E09000032,Wandsworth,2007,All recorded offences,93.7,27299
E09000033,Westminster,2007,All recorded offences,289.8,63934
E09000002,Barking and Dagenham,2008,All recorded offences,115.9,19987
E09000003,Barnet,2008,All recorded offences,77.8,26374
E09000004,Bexley,2008,All recorded offences,71.3,16171
E09000005,Brent,2008,All recorded offences,93.5,27213
E09000006,Bromley,2008,All recorded offences,86.4,26350
E09000007,Camden,2008,All recorded offences,162.5,34175
E09000008,Croydon,2008,All recorded offences,93.9,32789
E09000009,Ealing,2008,All recorded offences,101.1,32747
E09000010,Enfield,2008,All recorded offences,82.5,24533
E09000011,Greenwich,2008,All recorded offences,119.6,28677
E09000012,Hackney,2008,All recorded offences,128.6,29713
E09000013,Hammersmith and Fulham,2008,All recorded offences,129.5,22928
E09000014,Haringey,2008,All recorded offences,112,27379
E09000015,Harrow,2008,All recorded offences,65.5,15047
E09000016,Havering,2008,All recorded offences,77.7,18020
E09000017,Hillingdon,2008,All recorded offences,97.4,25420
E09000018,Hounslow,2008,All recorded offences,99.8,23748
E09000019,Islington,2008,All recorded offences,153,29383
E09000020,Kensington and Chelsea,2008,All recorded offences,135.2,21979
E09000021,Kingston upon Thames,2008,All recorded offences,72.4,11296
E09000022,Lambeth,2008,All recorded offences,121.7,35186
E09000023,Lewisham,2008,All recorded offences,118.4,31553
E09000024,Merton,2008,All recorded offences,77.3,15146
E09000025,Newham,2008,All recorded offences,121.2,33519
E09000026,Redbridge,2008,All recorded offences,92,24410
E09000027,Richmond upon Thames,2008,All recorded offences,65,11885
E09000028,Southwark,2008,All recorded offences,141.8,39266
E09000029,Sutton,2008,All recorded offences,74.4,13831
E09000030,Tower Hamlets,2008,All recorded offences,119.5,27710
E09000031,Waltham Forest,2008,All recorded offences,108.4,26240
